claim_id,section,claim_kind,claim_text_sha256,evidence_ids,verification_status,uncertainty,analysis_intent
C001,2.1/3.1,factual,ef1b79ed848950fcbafbf3d43a7830e2d8de4fd62ddf99bf7d9d9fd58708f7b7,E001,verified_by_opening,none_reported,confirmatory
C002,2.1/3.1,factual,284ad4bf9d37d352201070494c584945a90d1bc1d4437b90e88f65eba68ebe9a,E001,verified_by_opening,none_reported,confirmatory
C003,2.1/3.1,factual,80b92ebf9faf442703137e0d7c1f924054caa37c218b87874ecfe1a5a5335cba,E001;E003;E005,verified_by_opening,none_reported,confirmatory
C004,1,factual,7a270bd81708ce25c34a820f771ef18b513a11cf3e249051a5619500cb50a298,E002,verified_by_opening,none_reported,confirmatory
C005,1/3.1,factual,28d96ccb092e7b3e27551bc07ebe246fe1689bbd53f8815efda905b12afe92ba,E003,verified_by_opening,none_reported,confirmatory
C006,1/3.1,factual,f278472afe9a5f5d854b955124c44d3cc6ecf4f2fb6604203a74e47cf98f222c,E003,verified_by_opening,none_reported,confirmatory
C007,1/3.1,factual,111f71603b842dda0ea1735ab5cbbc3721329968b503f25344697fb6410bee14,E004,verified_by_opening,effect_size_single_study,confirmatory
C008,2.1,factual,262d479f4eb84e9a725d15573a03ee2e96ed299adbe60df570141f46d709eca1,E005;E006,verified_by_opening,none_reported,confirmatory
C009,2.4,factual,f556f0059a3ff5b82af3e3c56a346a2523b4ec524e58e2ecb67a45d6577dd174,E007,verified_by_opening,none_reported,confirmatory
C010,2.4,factual,06cf48a570176b1d8434aca5de7de589e17926c2c8def0a3a3de56d46fb4b3e9,E007,verified_by_opening,single_lab,confirmatory
C011,2.4,factual,8577a172590669e5d39c144013656d27af4a05e26644237ea26fa6b61b267967,E007,verified_by_opening,single_lab,confirmatory
C012,2.1/3.1,factual,6f4fb740e848c165ed8defca66133804a404a02dca35aeba1e07a1184f7676ca,E008,verified_by_opening,none_reported,confirmatory
C013,2.4,factual,520b770a29903d52158a99eecb9677bfe88895bbd98bd3a45c016c9aff224b3d,E009,verified_by_opening,none_reported,confirmatory
C014,2.2,factual,86c00d7d6322c1958eaf89fecc2ec10cf311a136007a77168d9b0b3fe273e61b,E010,verified_by_opening,parameter_ranges_reported,confirmatory
C015,2.2,methodological,0f5c31cb4c66bfabd42013ddef7e5682f268e7004d835a165dfa7443ec486ba2,E011,verified_by_opening,parametric_sweep,exploratory
C016,3.1,factual,44d1160b4235ad2d286e940e34abb437f33c0b4443d3af5861876531edb56f8c,E012,verified_by_opening,single_study,confirmatory
C017,3.1,factual,98699552037e225cfe002937a824d507cfa7fc9b20f950935bf41ed9e247f9c8,E013,verified_by_opening,none_reported,confirmatory
C018,3.1,factual,9da71ee7f3526f7389b9dd58ee672aad036f25d2e1b9253b4b5fd4eb1b961477,E014,verified_by_opening,dogma,confirmatory
C019,3.1,factual,af041d51909477677838faf688189d567029f7da5355a9393b8943c8759859f0,E015,verified_by_opening,debated_then_resolved,confirmatory
C020,3.1,factual,565947fe24b770942840a57d5a00fc1610b994124bbc27b7620f47f61ffdd3d2,E016,verified_by_opening,none_reported,confirmatory
C021,3.1,factual,17608846332cd961d158c2616be926de70b95bdc7e2828a83081a03841c14602,E017;E018,verified_by_opening,preclinical,confirmatory
C022,2.2/3.1,factual,753a5d1b0ae6ac5640ff02783b9f2e8c07ee8cedcc0126581d1d353a36c4ea67,E019,verified_by_opening,rodent,confirmatory
C023,2.2/3.1,factual,82597d7fbc1671a7ceebc51e9c5632a746a5182328ef2f2eeccda11f9a00ad39,E020,verified_by_opening,preclinical,confirmatory
C024,methods,factual,1fc361223ebfcd488681c66f6bb071eedf303b689ecd02f7d786790c1d78c713,E021,verified_by_opening,none_reported,confirmatory
C025,methods,factual,516e4fb44add3f4ff1e976d2d1a1d43639a01077065cf2e6dc1489266b8b263c,E022,verified_by_opening,none_reported,confirmatory
C026,methods,factual,77721b8611f8f0c0866698831cab475d5a74eb2af8e9cdc4773a0526bd9e8a69,E023,verified_by_opening,n=1_signal,confirmatory
C027,1.1,factual,a868e5e34b9b4d9c8bc79c84590a13d9e31d3da80b62db5b3727e2ba37ecf597,E024,verified_by_opening,none_reported,confirmatory
C028,4.2,factual,995469b8d2aeea7b15590f2863b0cda0c6bb7f1667473b50a24b08600ba3858d,E025;E026,verified_by_opening,model_based,confirmatory
C029,4.3,factual,b3d36e9346073fa0f2e8c9af5be6538673fb74a69e0c18c9eab210fdc13faa60,E027,verified_by_opening,none_reported,confirmatory
C030,4.3,factual,477d8bf1cb04246f9aed5b3b9af5bde66784ec54d74a01dc1eea8db952c21fa6,E028,verified_by_opening,none_reported,confirmatory
C031,4.3,factual,8cf580fe80ec08f08931bfd1fdbaba933b434b263314f97fdc1bb1a4e91b7214,E029,verified_by_opening,phase1,confirmatory
C032,2.2,result,2ce08eec85c63b9cae0f4d7f3572ac3edc21a108b561533f11c4706a94589f29,E030,verified_by_execution,deterministic_checks,exploratory
C033,3.2,result,b0aa1ddd30dc1b43446430301b738b18ba4b700c44c1e25ada7a538b7e0d4938,E030,verified_by_execution,parametric_range,exploratory
C034,3.2,result,eaa0fb9a9c594ae3e9b45a018c4d396db50fb62a4349dfd36b5b06951c0fb0ec,E030;E020,verified_by_execution,model_based,exploratory
C035,3.2,result,690ce955b7ec60010ffee4ba8af354d47974600a4f5c8693677b2a9b17bd9cdf,E030;E019,verified_by_execution,model_based,exploratory
C036,3.3,result,e538cfa3aa349a8c904e18ebdd98672dc2497dcc7aeeee30d8a7cfbd4f6901ae,E031,verified_by_execution,structured_judgment_weights,exploratory
C037,2.4,result,c364e9dd5254ee4011d04f88fef3b9e07783a544a5a372c4e5dbdcb72dee02d9,E032;E007,verified_by_execution,detection_floor_assumed,exploratory
C038,3.4,result,33c384527fae34549bdff873641f55364c55a229423e12317a4e7c2f9041623f,E032,verified_by_execution,in_silico_prediction,exploratory
C039,3.4,result,3e67ba71e1ddfc5ae0f274e73d111b8b83d44ed3900de31e002c19843454d92f,E032;E007,verified_by_execution,qualitative_n2,exploratory
C040,2.5,factual,a442eac0c8b6cef5ff212e73e7315434c308dc9aee929f187265d2a490c5bd1b,E033,verified_by_opening,auditable,confirmatory
C041,methods,factual,da9068987606dfb7ddde6360030c0e7d9c827a43317c4437a7d804ddf77833e2,E033,verified_by_opening,batch,confirmatory
C042,3.2,result,0a549e6090ac58fd7b06026a36393a80432ecc5c30d595b1a12447e95461002f,E030,verified_by_execution,model_based,exploratory
C043,2.4,methodological,0cbc4a6caa819fd683aec8132473e08ef87cfa1097b5e0710fe6030b408ba0ba,E032;E009,verified_by_construction,declared_limitation,exploratory
