cand_id,modo,chave,title_exato,ano_exato,veiculo,julgamento2
C-B2-002,doi,10.1038/s41598-020-72519-0,A nationwide trend analysis in the incidence and mortality of Creutzfeldt–Jakob disease in Japan between 2005 ,2020,Scientific Reports,CONFIRMA_EXATO
C-B2-007,pmc,PMID:38500676,New implications for prion diseases therapy and prophylaxis.,2024,Frontiers in molecular neuroscience,CONFIRMA_EXATO
C-B2-011,pmid,41427337,From in silico prediction to experimental validation: Identification of drugs and novel synergistic combinatio,2025,bioRxiv : the preprint server for biology,CONFIRMA_EXATO
C-B2-013,doi,10.3390/jcm15072801,From In Silico Hypothesis to Validation: The Role of Real-World Evidence in the Preliminary Verification of AI,2026,Journal of Clinical Medicine,CONFIRMA_EXATO
C-B2-015,doi,10.2139/ssrn.5352605,Toward an Integrated Epistemology of Futures Thinking: A Meta-Synthetic Taxonomy of Foresight Methodologies,2025,,CONFIRMA_EXATO
C-B3-004,doi,10.1038/s41467-022-30457-7,2.7 Å cryo-EM structure of ex vivo RML prion fibrils,2022,Nature Communications,CONFIRMA_EXATO
C-B3-005,pmc,PMID:36646960,A structural basis for prion strain diversity.,2023,Nature chemical biology,CONFIRMA_EXATO
C-B3-007,doi,10.1126/sciadv.abg9676,Genetic prion disease–related mutation E196K displays a novel amyloid fibril structure revealed by cryo-EM,2021,Science Advances,CONFIRMA_EXATO
C-B3-011,pmc,PMID:35552984,Review: Role of Model-Informed Drug Development Approaches in the Lifecycle of Drug Development and Regulatory,2022,Pharmaceutical research,CONFIRMA_EXATO
C-B4-004,pmc,PMID:27836910,Insights from Therapeutic Studies for PrP Prion Disease.,2017,Cold Spring Harbor perspectives in medicine,CONFIRMA_EXATO
