claim_id,section,claim_kind,claim_text_sha256,evidence_ids,verification_status,uncertainty,analysis_intent
C001,Introduction,estimate,5a1dd592d450d143ebb10cf1670cb493335489fc5700ac467a2b14af3f1316ea,E001,verified_by_open_source,none_stated,descriptive
C002,Introduction,estimate,0ce91ff7ad686b5bbb784d4aa04c8a8da676d603ab4bb3b91505569fdb582684,E002,verified_by_open_source,estimated,descriptive
C003,Introduction,estimate,8b51a0ee428b77c8b5d0ea2335c2105879b67c766fe4f0fed2a1fefb87184432,E002,verified_by_open_source,none_stated,descriptive
C004,Introduction,estimate,18667703dcb01ebe7e7fcdbef4110dc94b51d73ecb71a4444c993ed8fdc8de01,E002,verified_by_open_source,none_stated,descriptive
C005,Introduction,estimate,f1b8a30a9fde5e96acaf2dd182a8929a6f298aff8619834d1115637907716044,E003,verified_by_open_source,none_stated,descriptive
C006,Introduction,estimate,3a4ae1d6a9ab33dacc6a18a824317a9b0e4f48ea5998e15a13868c41f9c5159b,E004,verified_by_open_source,estimated,descriptive
C007,Introduction,estimate,e1020b509c753021335b4ab85653af36349f9e55a5b761377e0f7d5e3d8077fb,,unresolved,none_stated,descriptive
C008,Introduction,estimate,9fe0b803f5a27e83d2c1f67e1314c0fd928215d0849af9750276479dea5998d7,E005,verified_by_open_source,none_stated,descriptive
C009,Introduction,estimate,9d38b2c1151f8b837e2eef0458dd272c9a13b20b5888dbc0e71856e79e58532e,E006,verified_by_open_source,none_stated,descriptive
C010,Introduction,estimate,2f8b2bf191a8a206ecdbe687f8220371c7e36c4abd4781389f5e1beb8568b2d3,E008,verified_by_open_source,none_stated,descriptive
C011,Introduction,estimate,71e92e45549ef0751978b831ba866539731fa53378e7809b899af6919459e91f,,unresolved,none_stated,descriptive
C012,Introduction,estimate,f1535b7ad6cca3ad2670deb3ca2b9ecbf94ecc418f0147362b38980347b2bd07,,unresolved,none_stated,descriptive
C013,Results,estimate,a76a16391c8818bd82123485862d38fb216601e5a202d23bb9395a4c6aeaf1f9,E013,verified_by_open_source,estimated,descriptive
C014,Results,estimate,a4e999c29e629888f72a9b4a3b9e475d35d385370dd55fd66878bb0d3afccd67,,unresolved,estimated,descriptive
C015,Results,refutation,bc34a728744eaa9b47a2b3798b5e7b50ac5dee3c19620586c581a125867767b2,E007,verified_by_open_source,none_stated,descriptive
C016,Results,refutation,cb29aa97e2d522eb0c276542fae3d8f0ca3c20a25ccdc54819b2785b8e95e47a,,unresolved,none_stated,descriptive
C017,Results,estimate,35b6ac5c87ace00c28cbbd31892532900c7f14a244300dc9c7e9c3c05b59dd9c,E008,verified_by_open_source,none_stated,descriptive
C018,Results,estimate,be8ff01875cfabcd8923a1003a9664b8f8c1d27a6fad9150a3adc06f9b6e5d89,E008,verified_by_open_source,none_stated,descriptive
C019,Results,estimate,f7a582c4496d63b176a4869c905864a89bb3b1d2a021568ad1adf2dcd3841883,E009,verified_by_open_source,none_stated,descriptive
C020,Results,estimate,51289f8461f37573184942fdef0e74d9bc6dab9268983c672c69e386f7db9e13,,unresolved,estimated,descriptive
C021,Results,estimate,494287c7449ac25c8a6e4d43c2c18f22d778a8c1fd3b110354aacdf340bf50ea,,unresolved,estimated,descriptive
C022,Results,estimate,68b34b7afab1fcb7d2835367f50e96e781da3e15603bca3efec0e5fe129983ea,,unresolved,none_stated,descriptive
C023,Results,estimate,bb911b42a11b2afc4d9fcde836d4a19f325afd08ea4466eec6a020c73e612794,,unresolved,none_stated,descriptive
C024,Discussion,estimate,a4ff9ee8673fe5e8ce7c6ba312cec07f4d357a35194a47c46ea31c71e429ff3f,,unresolved,estimated,descriptive
