cand_id,source_type,title,authors,year,identifiers,locator,provenance_query,provenance_url,status,note
C-B4-001,database,Global Burden of Disease Study 2021 (GHDx record: YLD-DALY-HALE 1990-2021),IHME,2021,ghdx-gbd2021,ghdx.healthdata.org,q10-gbd-daly,https://ghdx.healthdata.org/record/ihme-data/gbd-2021-yld-daly-hale-1990-2021,VERIFYING,fonte-de-dados p/ DALY prion (consulta interativa)
C-B4-002,data_tool,VizHub - GBD Results (ferramenta interativa; causa prion diseases),IHME,N/A,vizhub-gbd-results,vizhub.healthdata.org,q10-gbd-daly,https://vizhub.healthdata.org/gbd-results/,VERIFYING,AQUI se extrai o DALY prion (registro do valor + ano no anexo P2.1)
C-B4-003,journal_article,Global burden of 369 diseases and injuries in 204 countries (GBD capstone),GBD Collaborators,2020,PMCID PMC7567026,The Lancet,q10-gbd-daly,https://pmc.ncbi.nlm.nih.gov/articles/PMC7567026/,VERIFYING,capstone metodologico GBD
C-B4-004,journal_article,Insights from Therapeutic Studies for PrP Prion Disease,Teruya K et al.,2017,PMCID PMC5334251,PMC,q11-terapia-preclinica,https://pmc.ncbi.nlm.nih.gov/articles/PMC5334251/,VERIFYING,PRE-2021; flupirtine-quinacrine-PPS-doxycycline
C-B4-005,journal_article,Continuous Quinacrine Treatment Results in Formation of Drug-Resistant Prions,Ghaemmaghami S et al.,2009,doi:10.1371/journal.ppat.1000673,PLoS Pathogens,q11-terapia-preclinica,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1000673,VERIFYING,PRE-2021 classico 198 cit; falha terapeutica
C-B4-006,journal_article,Prion therapeutics: Lessons from the past (IND24+Anle138b combinacao),Shim KH et al.,2022,doi:10.1080/19336896.2022.2153551,Prion (T&F),q11-terapia-preclinica,https://www.tandfonline.com/doi/full/10.1080/19336896.2022.2153551,VERIFYING,licoes de falhas - ancora do gargalo terapeutico
C-B4-007,journal_article,Alternating anti-prion regimens reduce combination drug-resistant prion strains,Beauchemin KS et al.,2021,PMCID PMC8744272,PMC,q11-terapia-preclinica,https://pmc.ncbi.nlm.nih.gov/articles/PMC8744272/,VERIFYING,cepa resistente a combinacao - reforca M3 anti-hindsight
C-B4-008,preprint,Therapeutic trial of anle138b in mouse models of genetic prion disease,(autores no registro NGDC),2022,biorxiv-2022.10.11.511739,bioRxiv,q11-terapia-preclinica,https://www.biorxiv.org/content/10.1101/2022.10.11.511739v1,VERIFYING,prion GENETICO - paralelo E200K
C-B4-009,web_log,End of the beginning (PRN100: falha e licoes),Minikel SM (cureffi.org),2024,url-cureffi-2024-03-21,cureffi.org,q11-terapia-preclinica,https://www.cureffi.org/2024/03/21/end-of-the-beginning/,VERIFYING,fonte primaria-adjacente
C-B4-010,journal_article,Open science interventions to improve reproducibility and replicability,Dudda L et al.,2025,PMCID PMC11979971,PMC,q12-open-science,https://pmc.ncbi.nlm.nih.gov/articles/PMC11979971/,VERIFYING,39 cit
C-B4-011,journal_article,Adapting Open Science and Pre-registration to Longitudinal Designs,Petersen IT et al.,2022,PMCID PMC10904029,PMC,q12-open-science,https://pmc.ncbi.nlm.nih.gov/articles/PMC10904029/,VERIFYING,31 cit
C-B4-012,journal_article,The reliability of replications: a study in computational reproduction,(autores nao retornados),2025,rsos-241038,Royal Society Open Science,q12-open-science,https://royalsocietypublishing.org/rsos/article/12/3/241038/86855/The-reliability-of-replications-a-study-in,VERIFYING,VARIABILIDADE de reprodutor computacional - ancora direta do AST
