claim_id,claim_hash,evidence_ids,status
C001,965d163c1e22ffec,E001,"agent-verified; human re-verification of E001-E003,E006,E007 pending"
C002,b5e8b9d2a30c6787,E002,"agent-verified; human re-verification of E001-E003,E006,E007 pending"
C003,8ae837895f90d281,E003,"agent-verified; human re-verification of E001-E003,E006,E007 pending"
C004,3bf2963bc6c10f4d,E004,"agent-verified; human re-verification of E001-E003,E006,E007 pending"
C005,bb9fa697df27a697,E005,"agent-verified; human re-verification of E001-E003,E006,E007 pending"
C006,84feb0692dcd8679,E006,"agent-verified; human re-verification of E001-E003,E006,E007 pending"
C007,a9546bfd065cf623,E007,"agent-verified; human re-verification of E001-E003,E006,E007 pending"
C008,ef2c349779af4443,E008,"agent-verified; human re-verification of E001-E003,E006,E007 pending"
C009,2810f313e38a9cdf,"E009,E012","agent-verified; human re-verification of E001-E003,E006,E007 pending"
C010,0e34b2660ef40ef4,E010,"agent-verified; human re-verification of E001-E003,E006,E007 pending"
C011,06b833ad7e73dd59,E012,"agent-verified; human re-verification of E001-E003,E006,E007 pending"
C012,a71a1c744689f565,E012,"agent-verified; human re-verification of E001-E003,E006,E007 pending"
C013,cd404546e3cb9c40,E011,"agent-verified; human re-verification of E001-E003,E006,E007 pending"
C014,1abe8808c5ee4977,E012,"agent-verified; human re-verification of E001-E003,E006,E007 pending"
